语料ID,产品ID,产品名称
微信公共号文章-1626,ID595,海南自
微信公共号文章-1662,ID596,茂名市博物馆数字博物馆
微信公共号文章-1686,ID597,芝加哥
微信公共号文章-1688,ID598,武汉
微信公共号文章-1694,ID599,广东省南粤沉香博物馆
微信公共号文章-1696,ID600,海丰县
微信公共号文章-1704,ID601,水东湾新城
微信公共号文章-1713,ID602,尼洋河
微信公共号文章-1728,ID603,区
微信公共号文章-1743,ID604,茂名国家高新技术产业开发区规划展览馆
微信公共号文章-1752,ID605,奇石公园
微信公共号文章-1754,ID606,茂名市熹龙国际大酒店
微信公共号文章-1764,ID607,荔枝国家现代农业产
微信公共号文章-1767,ID608,越文化
微信公共号文章-1776,ID609,樟岭村
微信公共号文章-1790,ID610,长安
微信公共号文章-1794,ID611,包头市
微信公共号文章-1798,ID612,西安市
微信公共号文章-1812,ID613,荔乡
微信公共号文章-1814,ID614,合水村
微信公共号文章-1819,ID615,新湖公园
微信公共号文章-1824,ID616,浮山岭超世寺
微信公共号文章-1825,ID617,岭南
微信公共号文章-1826,ID618,钟南山
微信公共号文章-1852,ID619,贺滨海旅游度假区
微信公共号文章-1853,ID620,广州白云宾馆
微信公共号文章-1856,ID621,茂名花果世
微信公共号文章-1860,ID622,广
微信公共号文章-1862,ID623,旺同村
微信公共号文章-1863,ID624,林头镇
微信公共号文章-1897,ID625,南粤
微信公共号文章-1899,ID626,共青河新
微信公共号文章-1907,ID627,李山村
微信公共号文章-1939,ID628,江山市
微信公共号文章-1945,ID629,西岸村
微信公共号文章-1956,ID630,珠江
微信公共号文章-1964,ID631,堂
微信公共号文章-1976,ID632,元坝村
微信公共号文章-2025,ID633,博贺滨海旅游度假区
微信公共号文章-2031,ID634,山阁镇烧酒村
微信公共号文章-2078,ID635,茂名跨境
微信公共号文章-2082,ID636,枝
微信公共号文章-2096,ID637,乌石村
微信公共号文章-2103,ID638,那宾村
微信公共号文章-2111,ID639,珠
微信公共号文章-2123,ID640,电白
微信公共号文章-2197,ID641,大湾区
微信公共号文章-2224,ID642,珠三角
微信公共号文章-2235,ID643,根子元坝村
微信公共号文章-2240,ID644,长沙
微信公共号文章-2264,ID645,苏州市
微信公共号文章-2276,ID646,文化广场
微信公共号文章-2302,ID647,钧明城城市艺术公
微信公共号文章-2305,ID648,高新区
微信公共号文章-2309,ID649,钧明城城市艺术公园
微信公共号文章-2320,ID650,牙象大地艺术公园
微信公共号文章-2327,ID651,钧明城
微信公共号文章-2328,ID652,广东茂名森林公园
微信公共号文章-2343,ID653,茂南
微信公共号文章-2354,ID654,茂名城市艺术
微信公共号文章-2373,ID655,博贺港
微信公共号文章-2391,ID656,茂名城市艺术公园
微信公共号文章-2393,ID657,同心岛
微信公共号文章-2409,ID658,石鼓镇
微信公共号文章-2411,ID659,南粤文创街
微信公共号文章-2421,ID660,南京
微信公共号文章-2425,ID661,放鸡岛旅游度
微信公共号文章-2426,ID662,浪漫海岸旅游度假区
微信公共号文章-2431,ID663,放鸡岛旅游度假区
微信公共号文章-2445,ID664,南宁
微信公共号文章-2508,ID665,中德大
微信公共号文章-2562,ID666,金三角
微信公共号文章-2576,ID667,潘州
微信公共号文章-2601,ID668,甲子大
微信公共号文章-2610,ID669,牙象大地艺术
微信公共号文章-2631,ID670,茂化路
微信公共号文章-2642,ID671,锦江画廊
微信公共号文章-2649,ID672,御水古温泉度假区
微信公共号文章-2658,ID673,牙象村
微信公共号文章-2669,ID674,应用产业开发试验区
微信公共号文章-2706,ID675,江东北路
微信公共号文章-2710,ID676,大唐荔乡
微信公共号文章-2718,ID677,京城
微信公共号文章-2741,ID678,观珠镇
微信公共号文章-2745,ID679,朝阳路
微信公共号文章-2801,ID680,龙坑村
微信公共号文章-2809,ID681,工业园
微信公共号文章-2812,ID682,云里莲海庄园
微信公共号文章-2814,ID683,莲花湖
微信公共号文章-2827,ID684,高州古丁梯田
微信公共号文章-2835,ID685,中国荔枝博览馆
微信公共号文章-2837,ID686,香港
微信公共号文章-2841,ID687,田
微信公共号文章-2854,ID688,稻田
微信公共号文章-2872,ID689,文光社区
微信公共号文章-2881,ID690,象稻田
微信公共号文章-2885,ID691,顿标
微信公共号文章-2887,ID692,台北
微信公共号文章-2890,ID693,茂名市文
微信公共号文章-2920,ID694,复兴大道
微信公共号文章-2938,ID695,钟鼓公园
微信公共号文章-2960,ID696,广州奥林匹克体育中心游泳馆
微信公共号文章-2971,ID697,南海旅游岛
微信公共号文章-2972,ID698,冼夫人
微信公共号文章-2973,ID699,河池市
微信公共号文章-2988,ID700,茂名·钧盟电竞馆
微信公共号文章-2996,ID701,化州市北岸
微信公共号文章-3037,ID702,电白名宴酒店
微信公共号文章-3041,ID703,茂名东站
微信公共号文章-3046,ID704,化州星河国际假日酒店
微信公共号文章-3050,ID705,茂名市现代农业产业园
微信公共号文章-3051,ID706,茂名西站
微信公共号文章-3062,ID707,深圳经济特区
微信公共号文章-3064,ID708,吉达港
微信公共号文章-3084,ID709,南海旅游岛冼夫人文化影视城
微信公共号文章-3096,ID710,茂名市华海酒店
微信公共号文章-3098,ID711,罗定市
微信公共号文章-3104,ID712,东湾
微信公共号文章-3124,ID713,共青河新城
微信公共号文章-3125,ID714,碧桂园城
微信公共号文章-3144,ID715,博贺镇
微信公共号文章-3167,ID716,歌美海景区
微信公共号文章-3169,ID717,茂羊路
微信公共号文章-3189,ID718,电白水东安泰大酒店
微信公共号文章-3194,ID719,茂名国
微信公共号文章-3199,ID720,东
微信公共号文章-3214,ID721,长岭
微信公共号文章-3258,ID722,冼夫人文化影视
微信公共号文章-3286,ID723,北部
微信公共号文章-3297,ID724,湛江吴川机场
微信公共号文章-3311,ID725,光华北路
微信公共号文章-3317,ID726,南香村
微信公共号文章-3324,ID727,甲子大道
微信公共号文章-3329,ID728,站南公园
微信公共号文章-3339,ID729,茂名汽车
微信公共号文章-3347,ID730,长安区博雅盛世
微信公共号文章-3379,ID731,嘉豪轩食品文化产业园
微信公共号文章-3380,ID732,春苑公园
微信公共号文章-3384,ID733,石家庄市
微信公共号文章-3403,ID734,茂名万达广场
微信公共号文章-3410,ID735,钧盟电竞馆
微信公共号文章-3414,ID736,东省
微信公共号文章-3422,ID737,粤北
微信公共号文章-3431,ID738,油城路
微信公共号文章-3440,ID739,广州白云国际会议中心世纪大会堂
微信公共号文章-3464,ID740,锦绣嘉园
微信公共号文章-3476,ID741,福华
微信公共号文章-3478,ID742,新兴县天堂镇
微信公共号文章-3480,ID743,新湖公
微信公共号文章-3502,ID744,福华市场
微信公共号文章-3508,ID745,文武庙广场
微信公共号文章-3549,ID746,颐年苑
微信公共号文章-3568,ID747,江滨公园
微信公共号文章-3621,ID748,茂名级
微信公共号文章-3652,ID749,茂名水东湾海洋公园
微信公共号文章-3658,ID750,茂南区牙象大地艺术公园
微信公共号文章-3660,ID751,桂园
微信公共号文章-3688,ID752,江东中路
微信公共号文章-3699,ID753,茂南区露天矿生态公园
微信公共号文章-3761,ID754,金塘镇牙象大地艺术公园
微信公共号文章-3780,ID755,江
微信公共号文章-3788,ID756,北京人民大会堂
微信公共号文章-3789,ID757,新冠
微信公共号文章-3793,ID758,小东江大雾岭自然保护区
微信公共号文章-3803,ID759,茂名市文化馆
微信公共号文章-3810,ID760,人民大会堂
微信公共号文章-3823,ID761,长尾公村
微信公共号文章-3830,ID762,粤龙山
微信公共号文章-3835,ID763,茂名高新区
微信公共号文章-3848,ID764,绿
微信公共号文章-3853,ID765,茂名站南片区
微信公共号文章-3866,ID766,城
微信公共号文章-3879,ID767,白麻岗镇热水村
微信公共号文章-3888,ID768,白石村
微信公共号文章-3891,ID769,印度尼西亚
微信公共号文章-3895,ID770,宝藏乐园
微信公共号文章-3902,ID771,博贺渔
微信公共号文章-3905,ID772,谭则桥
微信公共号文章-3906,ID773,化州地区
微信公共号文章-3919,ID774,新加坡
微信公共号文章-3939,ID775,万
微信公共号文章-3955,ID776,羊城
微信公共号文章-3969,ID777,茂名市滨海新区电城镇架炮村
微信公共号文章-3989,ID778,龙山村
微信公共号文章-3991,ID779,华讯
微信公共号文章-3993,ID780,金垌镇
微信公共号文章-4029,ID781,站前大道
微信公共号文章-4057,ID782,茂名镇
微信公共号文章-4092,ID783,茂名市露天矿博物馆
微信公共号文章-4119,ID784,马贵高山
微信公共号文章-4122,ID785,茂名港博贺
微信公共号文章-4132,ID786,新福
微信公共号文章-4135,ID787,大唐荔乡景
微信公共号文章-4165,ID788,粤
微信公共号文章-4233,ID789,茂名）国家热带农业公园
微信公共号文章-4247,ID790,化州市现代农业产业园
微信公共号文章-4259,ID791,冼太夫人故
微信公共号文章-4288,ID792,油城六路
微信公共号文章-4305,ID793,茂名市文化广场
微信公共号文章-4331,ID794,好心湖
微信公共号文章-4340,ID795,泰沉香博物馆
微信公共号文章-4392,ID796,茂南区红旗湖公园
微信公共号文章-4421,ID797,名市
微信公共号文章-4423,ID798,茂名滨海
微信公共号文章-4463,ID799,现代农业产业
微信公共号文章-4489,ID800,八角楼
微信公共号文章-4505,ID801,大榭开发区
微信公共号文章-4526,ID802,潘仙祠
微信公共号文章-4543,ID803,生态公园
微信公共号文章-4562,ID804,茂名六韬珠宝创意产业园
微信公共号文章-4579,ID805,鉴
微信公共号文章-4591,ID806,茂名地
微信公共号文章-4629,ID807,羊角镇
微信公共号文章-4631,ID808,玉林市
微信公共号文章-4775,ID809,化州市博物馆
微信公共号文章-4787,ID810,长城
微信公共号文章-4860,ID811,河源市霍山旅游风景区
微信公共号文章-4866,ID812,加拿大
微信公共号文章-4872,ID813,广州市
微信公共号文章-4874,ID814,古丁镇
微信公共号文章-4886,ID815,大唐
微信公共号文章-4954,ID816,南
微信公共号文章-5003,ID817,正村文化广场
微信公共号文章-5016,ID818,罗定
微信公共号文章-5024,ID819,官渡二路
微信公共号文章-5054,ID820,沙琅镇新城公园
微信公共号文章-5084,ID821,罗定机场
微信公共号文章-5098,ID822,陈金顶
微信公共号文章-5151,ID823,中路
微信公共号文章-5173,ID824,云开山
微信公共号文章-5183,ID825,广东茂名滨海新区
微信公共号文章-5253,ID826,大园三路
微信公共号文章-5257,ID827,云茂
微信公共号文章-5270,ID828,化
微信公共号文章-5289,ID829,钱排镇三华李现代产业园
微信公共号文章-5324,ID830,信宜镇隆
微信公共号文章-5341,ID831,光华南路
微信公共号文章-5400,ID832,莲塘
微信公共号文章-5517,ID833,山脚坡村
微信公共号文章-5526,ID834,茂名国际大
微信公共号文章-5569,ID835,北京天安门广场
微信公共号文章-5585,ID836,茂名市电白区博物馆
微信公共号文章-5603,ID837,浪漫海岸国际旅游度假区
微信公共号文章-5643,ID838,茂名甲子大道
微信公共号文章-5668,ID839,电白体育公园
微信公共号文章-5677,ID840,解放纪念
微信公共号文章-5746,ID841,望夫镇
微信公共号文章-5758,ID842,英国
微信公共号文章-5759,ID843,连江口镇
微信公共号文章-5797,ID844,西大山
微信公共号文章-5798,ID845,坡心镇
微信公共号文章-5828,ID846,那务镇
微信公共号文章-5845,ID847,从化区
微信公共号文章-5851,ID848,永州
微信公共号文章-5864,ID849,茂名市露天矿生态公园
微信公共号文章-5874,ID850,茂名市少年宫
微信公共号文章-5933,ID851,信宜莲花湖庄园景区
微信公共号文章-5989,ID852,阳江沙扒海上风电场
微信公共号文章-6038,ID853,白石镇
微信公共号文章-6059,ID854,吴川
微信公共号文章-6078,ID855,茂名市钧明城城市会客厅
微信公共号文章-6081,ID856,粤西地
微信公共号文章-6095,ID857,湛茂
微信公共号文章-6111,ID858,湛茂阳
微信公共号文章-6147,ID859,南盛湖艳村
微信公共号文章-6152,ID860,海南自由
微信公共号文章-6195,ID861,阳
微信公共号文章-6233,ID862,母亲河
微信公共号文章-6252,ID863,横琴
微信公共号文章-6257,ID864,马鞍岭森林公园
微信公共号文章-6290,ID865,分界镇
微信公共号文章-6305,ID866,茂名露天矿生态公园
微信公共号文章-6341,ID867,茂名市滨海新区
微信公共号文章-6394,ID868,华书店河东店
微信公共号文章-6411,ID869,河东店
微信公共号文章-6422,ID870,上
微信公共号文章-6443,ID871,广州南丰朗豪酒店
微信公共号文章-6448,ID872,茂南区金塘镇牙象大地艺术公园
微信公共号文章-6480,ID873,黑泥塘村
微信公共号文章-6497,ID874,储良母树公园
微信公共号文章-6514,ID875,茂名市钧明城演艺厅
微信公共号文章-6523,ID876,绿地公园
微信公共号文章-6553,ID877,河西街油城社区
微信公共号文章-6560,ID878,中华人民共和
微信公共号文章-6562,ID879,高州市植物园
微信公共号文章-6563,ID880,西粤北路
微信公共号文章-6625,ID881,中国进出口商品交易会展馆
微信公共号文章-6682,ID882,信宜思
微信公共号文章-6699,ID883,新疆
微信公共号文章-6701,ID884,伊春市
微信公共号文章-6714,ID885,出口商品交易会展馆
微信公共号文章-6736,ID886,官桥镇
微信公共号文章-6802,ID887,杨凌
微信公共号文章-6837,ID888,深圳国际会展中心
微信公共号文章-6848,ID889,鳌头镇
微信公共号文章-6859,ID890,大北国村
微信公共号文章-6871,ID891,非洲
微信公共号文章-6879,ID892,宁夏
微信公共号文章-6883,ID893,茂名市国际大酒店
微信公共号文章-6884,ID894,御水古温泉度假村
微信公共号文章-6885,ID895,电白红树林自然
微信公共号文章-6886,ID896,塘霞村
微信公共号文章-6895,ID897,海龙阁
微信公共号文章-6915,ID898,南海博贺滨海旅
微信公共号文章-6920,ID899,化工业园
微信公共号文章-6927,ID900,南塘镇
微信公共号文章-6933,ID901,茂名市钧明城
微信公共号文章-6957,ID902,向洋大道
微信公共号文章-7002,ID903,木院村
微信公共号文章-7028,ID904,花坎村
微信公共号文章-7072,ID905,锦江
微信公共号文章-7082,ID906,高凉南山
微信公共号文章-7084,ID907,茶山镇
微信公共号文章-7103,ID908,云潭镇
微信公共号文章-7113,ID909,小良镇
微信公共号文章-7125,ID910,北京市东城区
微信公共号文章-7128,ID911,同庆镇
微信公共号文章-7134,ID912,宾
微信公共号文章-7141,ID913,莲头岭
微信公共号文章-7160,ID914,河西
微信公共号文章-7178,ID915,朝阳
微信公共号文章-7180,ID916,钟
微信公共号文章-7192,ID917,茂名御水古温泉度假村
微信公共号文章-7213,ID918,霞洞
微信公共号文章-7234,ID919,西安世纪金源大饭店
微信公共号文章-7261,ID920,来宾
